Sentence_Preprocessed,Emotion
feel marginalised frequently intimidated road often feel law rule define safe road layout look like simply dont make sense im using bicycle mode transport,fear
im feeling little resolved get shit done,joy
feel really damn terrified rushed classroom friend playing joking around,fear
took shower headed bsc loop meet ally trip club feeling triumphant helped marvellous prank,joy
wont sure feel optimistic either,joy
hope like feel inspired prestige others,joy
feel love yesterday brought tear eye hear say today realize special surrounded love,joy
feel like almost convinced going pattern,joy
truly feel somehow enough hate get mad,anger
feel anyway never afraid sea healthy respect ocean sense harmony balance,fear
searched long hard bad review telling shouldnt buy something feel apprehensive found people loved swore f,fear
get shes saying another feel pissed thick skin put crap woman heap,anger
quite regular reader blog time read experience feel greatness kindness beloved father sai,joy
im feeling insecure,fear
remember feeling bit confused really questioned saying,fear
amos beautiful job retrofitting cohens song really basic arrangement piano work feel like artistic effort merely paying homage,joy
finally found afternoon wear feeling like vicious lurker,anger
feel loss chakotay reassured silently approached enveloped hug,joy
feel annoyed fact three week chemotherapy getting annoying pinching niggles back,anger
also feel vulnerable left bed virtual silence,fear
feel like cranky old man saying go,anger
felt little bit cramping feeling feeling week bothered,anger
feel like bothered topic reason im sor,anger
im feeling frantic try remember breathe laugh,fear
spent first couple day feeling bit restless kept busy cleaning organizing etc,fear
arrived monastery one week later feeling terrified,fear
feel blackburn stubborn team blackpool holloway want positive reaction game even get result,anger
feel really fucked still,anger
know environment live smile politely wave moment feeling absolutely appalled shortsighted people,anger
thankful safety loved one loved one friend guilty feeling selfish deeply saddened people back home say,anger
hoped feel weakness bothered every song every joke hear,anger
run feel threatened insecure,fear
expecting say bittersweet feeling im feeling bitter,anger
feel suffocated yet charmed brain pause logic,joy
im feeling mellow relaxed sometimes im feeling productive quiet sometimes wan na fun yknow,joy
already feel like im tortured,fear
feel terrified even time write feel mr,fear
promised wont enter anymore giveaway feel greedy couldnt resist one,anger
execute trick work dishwasher magic feel clever,joy
need reflect feel irritated,anger
im sick fact far time feel depend someone stubborn proud never want sometimes happens let,anger
im one girl feel insecure always,fear
feel stressed minute workout give instant boost energy help refocus,anger
happy see hopefully good job help feel little greedy,anger
like finish positive note whenever feel bit fearful remember something nice rich cheer,fear
feel though living island put delicious moisturiser sample lasting long time used twice day rest product gentle yet cleansing moisturising,joy
feel really anxious,fear
help feel proud grateful america,joy
say pressing torso siwons bringing face close enough feel siwons agitated breath,anger
loathe gamer said molyneux adding make feel insulted,anger
im feeling quite distressed amount horse whose jaw jammed shut consider excessive noseband along considerable amount metal mouth,fear
still feel agitated,anger
start feel like reiterate fact im sure ive made clear yet post despondent incident mermaidhaire mean sad like time,joy
shouldnt afraid go public feel paranoid ive done nothing wrong,fear
sat dark room minute trying figure feel offended whether heed advice,anger
know next time im glass red wine im tossing big ol ice cube im feeling really rebellious may even swirl glass sniff recommend try thing,anger
dont like way feel angry,anger
feel honored witness another process,joy
almost started feel like wimpy popeye cartoon,fear
ive feeling cranky lately,anger
want give feel distracted need remind working towards,anger
feeling nothing even getting agitated anymore,anger
im feeling le annoyed,anger
could course go feeling resentful blissfully unaware anything wrong,anger
also feel little resentful fact im spending supposed best year life taking care people little social life atrophy im left without time energy maintain,anger
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,joy
didnt feel alarmed moreso feeling total welcome,fear
feeling adventurous,joy
feel complimented insulted,anger
feel grumpy wake early,anger
feel sucked back vicious cycle start every time open door every time show back back hint love youre afraid,anger
trying work finding joy simple thing god finding joy obedience even feel joyful way used,joy
feel resentful irritable,anger
took several deep breath feeling cold air burn way lung exhaling little cloud vapor,anger
feeling brave bought clearly makeup,joy
lock mine long lifeline loop cleat piling take gas line feeling especially paranoid spark plug covering hole duct tape,fear
desk job sit as day long sometimes feel paranoid active enough think thing like dear god get fat never lose baby weight,fear
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy
im feeling really adventurous maybe white,joy
ask folk park feel smart park inch separating car one front behind,joy
feel inspired get back mindset putting good stuff body,joy
know weird see call something review feel weird saying digress,fear
feel relieved rescue party arrived,joy
determined lose weight healthy way work harder school better friend speak freely feel truthful people get sleep,joy
im feeling fucked ive ever nothing school work,anger
ive thinking drive fashion pretentious gon na make sound studying fashion design feel kinda vital understand im trying life whole,joy
feel vulnerable yet extraordinarily liberated,fear
feeling rich yup know blessed,joy
ive coursing cycle happiness feeling mellow feeling really depressed mellow back beginning,joy
want feel eager attend amp want feel like belong,joy
feeling completely irritated right idea maybe usually getting home school last hour god awful video imposed time,anger
see thing would never done movie adaption feel read book would bothered,anger
feel wronged,anger
understand nice feel like weird one,fear
never feel insincere little nosy get hint something might wrong want jump get detail,anger
didnt feel like really got know feel im unsure character,fear
feel completely agitated,anger
something tell girl finally feel brave enough share news,joy
id struggling feeling highly irritable toward husband,anger
realized today dont know want thats primary reason feel dissatisfied often,anger
suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,fear
frantically try get done feel frantic walk studio,fear
feel like im joyful maybe hormone act like feel never lie,joy
got went home sick today still feeling bit shaky david helping fix broken handrail basement stair,fear
dont mean id like chicken feeling insecure maybe doubting fact able run km tomorrow,fear
feel like another one underrated record album going popular amazing record nonetheless,joy
feel really greedy like hogging,anger
know advance fine make plan change fall end knowing feeling restless angsty,fear
back home feeling restless,fear
im going lie feel little insulted,anger
amazing great photography feel passionate,joy
omitted link article feel reader blog may offended questionable adult content nyps webpage,anger
im sure feel yet seemed kind distracted decided wed give end week prove u,anger
always feel pressured act normal eating around family christmas yeah ill need lose weight comfortable eating dessert stuff,fear
feel like little control help sweet pea better know ahead,joy
feeling resentful thinking trust,anger
feeling eager leap stash fabric make something,joy
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,joy
love tall guy make feel little innocent however innocent last thing night,joy
really feel way single day gone ive felt insecure jerome,fear
write many entry humanly possible one day still feeling dissatisfied write everything wanted fact complain time lonely,anger
im thankful music make laugh music make feel strong music make believe,joy
feel like going living rich sustained life throughout year due work,joy
get upset stomach afterward complete feeling like want throw still pleasant memory first one make throw,joy
asked whether feel shy around said say im active person,fear
think hair feeling confused,fear
feeling bit apprehensive carrying amount large without protection,fear
feel complacent experience program even sometimes find concept done big drag still room scrutiny,joy
generally eat lot junk mostly stress eating become comfortable child care feeling le stressed eating le junk,anger
remember consistently feeling dissatisfied progress,anger
feeling restless lately,fear
need feel dough make sure perfect,joy
feel distraught worried panicked sick scared sad,fear
see unhealthy feel weight gained back pissed let creep back,anger
feel pride buy roll quarter bodega corner feeling thing keep irate laundry room oddly devoid coin changer machine,anger
im feeling enraged another person action consider thinking moment prior incident,anger
ill take gfathers ute get load shit would prefer manure im feeling hostile let attempt version home made compost,anger
feel like frightened little child anyone could ever know,fear
feel angry disgusted,anger
aware indulge wounded self first thought feel impatient burdened make sure loving adult charge thinking second loving thought feel happy blessed peaceful,anger
quarrel parent convinced right,anger
help feel little hesitant towards lily,fear
feel disgusted continuing something want life,anger
irritable went million one idea feeling like bothered feeling inspired feeling obligated,anger
im feeling far mellow normal,joy
feel insulted technique also proven one worst educating already read slide faster able speak,anger
started feeling rather cranky grumpy ultimately ordinary little facebook flash cousin west meath suddenly pinging bad joke naughty story rudolph valentino performing unspeakable act back forth felt like party,anger
baffled hurt feel assaulted unsafe,fear
longer red feel weird,fear
hope pagetitle khatsii feeling fearful,fear
love rainbow look going think feel really festive hope kid feel like suppose constant party classroom thanks tissue paper ball,joy
left meeting feeling helpless betrayed law supposed protect people state,fear
feel reassured,joy
think really great situation feel overtly threatened public place everyone pretend see happening,fear
im feeling really agitated reason think coz im confused,anger
feel disgusted embarrased sad handled situation,anger
feel self assured need compete justify clearly well someone else,joy
said feel incredibly thankful whole,joy
read book called mindful woman every often throughout day stop close eye think anything hear see smell feel kind cool experiment,joy
feel resentful really work resentment blow,anger
changed feel im taking advantage wouldnt bothered one bit,anger
feel incredibly slacking mr greedy gut still desperate search unspoilt base career ladder,anger
never thought id feel much jot sympathy hussein always viewed jumped petty thug whatever thought may action administration,anger
im feeling awfully irritated worried good reason,anger
feeling humorous put cold caller hold,joy
failed entrance exam medical school studying biochemistry job prospect zambia,anger
feel uptight love show one thing right,fear
feel rather intimidated impressive background clinic general,fear
think talking lawyer finishing feel anxious,fear
im feeling little shaky im going give speech jens retirement lunch shortly dont want cry,fear
survived first big kid trauma though still feel shaken whole event,fear
feel despised dont deserve,anger
feeling dangerous wimbledon width,anger
feel weird self feel like,fear
im feeling doodly playful artistic hungry puzzled trendy stellar wonderful,joy
know simple feeling startled startled though understand word feeling word overtone green ink suddenly say,fear
feel relaxed comfortable,joy
im always able capture essence way see world writing feel weird way thinking generally consistent throughout short year,fear
started feeling like paranoid since kept happening,fear
could understand survivor reading might first feel offended talking abstract form rape,anger
always feel intimidated people especially always compare people ever since young,fear
describe feeling frantic alarm overtook,fear
almost walked snake,fear
feel like dream selfish,anger
know old people feel greedy family member trying take stuff even pas,anger
im done putting constant bullying feel threatened constantly defensive tired constantly defending others,fear
feel disrespected insulted,anger
pictured twin set copper pipe running somewhere cool contemplated one flowed outward made feel weird think one,fear
like buck system climb soapbox feel wronged see others wronged part comfortable society accepts certain behavior moral truth,anger
im feeling happy well,joy
feel stressed intention remain control feeling,anger
guess good friend allow go life feeling distressed confused,fear
remember feeling uncertain say well erm trying period due week erm,fear
reminder joy peace feel arm tortured,anger
feel like get mad think someone something thats really unjust,anger
ive as handed murt im starting feel fucked little,anger
attempt convince others think truly feel become title resentful href http en,anger
im feeling much optimistic coming en route,joy
feel gulam ali even talented many classical singer,joy
playing friend decided splash sand car moving nearby driver got angry came report parent,fear
feel little bit anxious,fear
im feeling bitchy unappreciated today,anger
currently feel like crap least show face work lest get suspicious ringing sick day holiday,fear
im feeling ok always hand sits close,joy
love comfy main goal look new clothes stand feeling uncomfortable something,fear
feeling going amazing artist like daddy uncle,joy
loved pack mate bonded touchy feely way sweet,joy
know dont live new york anymore feel outraged could happen city,anger
sleep well night feeling half brave yesterday,joy
stymied little bit wrote feeling unsure might go somewhere story unintended,fear
weekend home,anger
feel gap feel like rich people status poor people status,joy
idea particular region seems lack visibly necessary outer carniola well feel actually somewhat bothered possible evidence lack suburban spirit,anger
feel honoured luckily get post card,joy
start feel annoyed whole thing end ordering pizza,anger
feeling amazing mostly normal going pre thanksgiving celebration friend time softball,joy
dont really connect main character anything fact feel like almost innocent,joy
start feel agitated lacking patience right cranky,anger
im feeling every bit spiteful vindictive bitch time,anger
cant help feeling mad man,anger
im feeling wimpy whiny generally tired,fear
think browser comfortable booth attention focused feel pressured make purchase,fear
feel helpless,fear
feel tortured tragic enough without importance sparkle,anger
im feeling hopelessly restless,fear
remind reminded passion opinion feel incredibly agitated frustrated ball energy channel travel,fear
feel cranky disconnected,anger
feel sincere repentant past opposition civil right,joy
think many year spent feeling furious dramatic perspective world extremely sensitive nature,anger
ive feeling jealous lately blogger going author reading book si,anger
feel like confused person lately sigh,fear
feel bit shaky night lately awoken,fear
fought could feel trusting man patient cool confidence,joy
look say nicely friendly well im sorry feel way apologize angered stormed saying dont need shit good night overall im till friday thankfully,anger
feel absolutely fantastic hope baby,joy
feel cant talk move sometimes even breath fear kind rude hateful comment,anger
feel doubtful could wrong,fear
always dread part meeting although dont think didnt shoot hand air feeling superior week lost,joy
woke morning hike feeling jubilant,joy
feel tortured sickened exactly way felt last day lance leave,fear
feel shaky dizzy stomach start hurt miss meal,fear
didnt feel way got everyone dangerous path freedom,anger
remember sitting family room dallas watching story unfold new york many year ago feeling helpless,fear
feeling pretty triumphant held little conversation cashier realize deaf,joy
insane liking someone else made feel le valuable b c wasnt working also wasnt housewife,joy
still feelin kind irritable funky day go,anger
going take driving test,fear
care sort b lifestyle think live everyone want fit feel accepted,joy
feel genuinely wronged,anger
love comment feel free post one,joy
feel like getting fucked,anger
started secondary school age every night would cry lose sleep thought school next day wasnt usual feeling oh cant bothered school,anger
cornish feel insulted hurt know people age dont see see dont understand much cornwall important life,anger
cant help feel hadnt selfish could sheltered feeling way,anger
im really feeling skeptical clinique product,fear
feel uptight around family,fear
ive gone stage nervousness sheer terror feeling relaxed excited,joy
busy feel like free time home,joy
made feel like fault control husband violent behavior even believed existed,anger
feel like would confused waited long time reading second book,fear
feeling pissed,anger
want feel energetic rested,joy
feel frightened frustrated wanted go back sleep felt unfinished task needed attend edit two article freud dream irma injection near completion subsequently posted blog,fear
feel bit energized today le grouchy,anger
feel kind petty blogging,anger
al feeling rather agitated totally sure coming,fear
relieved excited feel confident,joy
feel agitated,anger
began training january least mentally preparing train remember specifically feeling apprehensive running spring marathon,fear
feel wronged luckily managed control complain talk bad friend either online facebook offline person,anger
im feeling indecisive want rest life,fear
feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,joy
also feel strange ripe old age twenty three want goddamn life partner,fear
id actually feeling le hostile towards m lot linux using brother lately,anger
living lately often wife also ubuntu user feeling bit uncertain linux platform want keep working,fear
assume feeling cold like water frozen plenty feed though eschew favor foraging scratch,anger
feel thank everyone amazing thought prayer,joy
continue succeed something someone seems unattainable feel men intimidated prolonged moment silence,fear
going cry one point could feel lump throat managed stop distracted thought getting vow right,anger
feeling pleased manuscript reporting result fellowship research annoyed ridiculous requirement,joy
drawn totally solid neutral bag black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessory,anger
actually feel quite scared get back exercising feel like ive lost much strength condition put much weight,fear
experimented lot experience mention sadly made realize woman feel career path somehow going determined partner support child ther co worker etc,joy
feel impatient yet fully sure searching,anger
nagging feeling fucked everything first try,anger
still feel fine tell getting weaker,joy
im slow feel weird returning home without mum anymore,fear
feel distraught ever,fear
feel skeptical,fear
im feeling easily irritable lately,anger
know mom would take look facebook profile feel envious fun seem friend carefree state life responsible pick time go away weekend,anger
feel privileged belong,joy
would feel timid wearing beacuse id try get dirty etc,fear
try feel confident ever eye meet feel strong like gym exercise machine could lb average always wanted,joy
im sorry really bad cold im feeling bitchy co never got go drinking stupid best friend tonight,anger
feel medium resolved effectively,joy
feel successful right,joy
feel fearful dont know going happen next course recovering,fear
feel uncomfortable around people syndrome,fear
feeling angry jealous deceived,anger
viewed stuff bottom deciding going come back feeling bitchy could list mood felt like ice cream sandwich,anger
feel like everywhere look piece sweet boy missing,joy
feeling bitter sweetness come deep recess soul,anger
guarantee im dizzy feeling like im going vomit month going pleasant person,joy
know let word flow like blog still feel pressure making unsure skill,fear
healing still feeling shaky time managed get finish work week,fear
feeling slightly distressed pride resisting waiting next peregrinos walk past help,fear
feel like one angry suffering loss stupid cancer unfairness even though nothing right,anger
remember feeling inspired thinking fine example parenting,joy
apologise advance feeling somewhat angered stressed following going come,anger
write feeling happy childish,joy
remember mum cry holding door tried break feeling terrified,fear
dont yeast infection vagina could feeling irritated yeast due diet stop eating lot sugary food,anger
relax feel distinctly strange,fear
saw anything wrong told excuse feeling truly insulted feeling desperate,anger
got feeling watching starting making hat school friend could one develop clever use resource train ticket doc marten sol barbies shattered mirror name,joy
im sore feeling unsure world go mile week,fear
ended eating lot carbs day feel pressured eat bunch last day,fear
finished reading feeling insecure,fear
feel really popular underground get thank god looking toby tunji,joy
feel like one trying accomplish everything especially balance extremely distressed world,fear
feel x indecisive,fear
feel offended girl,anger
actually starting feel pretty cranky situation avoiding lot phone call really didnt want talk anyone late,anger
im finally feeling little productive,joy
prayed trust god desire feel divine sense home,joy
decided let feeling demotivate enthusiasm diwali special recipe,joy
feel thing impolite katanya,anger
ive always heard choose one feauture play eye lip tone feautures love rule feel envious selena soo pretty lovely dark hair great eye wear wide colour range,anger
im really excited birthday feeling super nostalgic,joy
feel like need cry past day relieved could cry much tear today haha,joy
feel bit uncertain really shes nice girl good friend material,fear
feeling something startled either way started shoulder ended across room slow flutter mind,fear
feeling super,joy
beginning feel there good chance might pas,joy
ask wife annulment case feel irritated kept telling process,anger
feel pretty eager get done fun plan quilting,joy
thought feel scared somewhat trepidatious nervous sad,fear
finished blogging feeling shaky checked level see,fear
could find another reason new area feel le intimidated simple tool understand,fear
got chat rustie dean hometown moose jaw everyone made feel welcomed comfortable,joy
feel place posting since feel hesitant join aa full force could use insight people inside,fear
awhile started feeling irritated annoyed time one kid filled pant,anger
currently feeling aggravated,anger
came away experience feeling rather confused left sour taste mouth,fear
started feeling intimidated thought,fear
feel disgusted looking number,anger
feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting,joy
happened could get school initially wanted,anger
feel answer completely un sarcastic way,anger
woke feeling incredibly content amp optimistic today however woke terrible cold complete lack energy,joy
feel agitated sitting,fear
feeling shaky weak,fear
feel tranquil eloquent charm praise array delight thought legard loved,joy
know feel like love starting get scared actually love,fear
want say feel though dont play really vital role anyones life exception one friend,joy
new feel kind strange push,fear
feel pretty tortured work job often inspiration strike im work,anger
feel special fun say lol amvassago cant stop laughing ever read something see beefy amkris toshibalol amits epic word beef cake amvassago nooo,joy
im feeling pissed aac feeling kind miserable frustrated life whole week,anger
ive clawed time back still feel strong,joy
also chat feel frustrated guy think future husband,anger
feel apprehensive meeting someone new particularly group situation sign everything hope found courage time come round always far,fear
feel time one post get massively downvoted pagetitle rugmi popular image,joy
noticed earlier involved group turn speak front class could feel nervous,fear
feel tortured something,anger
wondering feeling brave enough make gift,joy
know never see place would break heart thick layer moss encased thick shell muffling sharper feeling pleasant painful,joy
wake feeling pretty energetic thats positive anyway,joy
feel unsure thanks l lot people liked,fear
feel contented small old rich tired happy,joy
appalled feel violent toward another human,anger
feel paranoid nobody saying anything,fear
feel strongly passionate hearing made heart sink,joy
feel really petty immature dont want cheat greg end breaking fighting stupid little thing,anger
feel like snow globe shaken still waiting dust settle,fear
think feeling little rebellious getting older like,anger
love lot different kind sport love hanging friend free time also unhealthy session grey anatomy im feeling ecstatic ty,joy
im sure person complex set reason leaving chalking one reason feeling like hated academia probably little simple,anger
always feel joyful quite often throw prayer window,joy
guess im feeling generous today decided offer fabulous deal popular print moment,joy
feel like enter class petrified im going say something make think le,fear
feel like watching another copy beloved son created english speaking world wonderful clever delightful new different way,joy
im feeling rather pleased tonight,joy
didnt feel like taking bitchy attitude,anger
feel little bit brave,joy
feel everythings resolved psychically galvanised prepared wrestle world ground,joy
hope would able understand make friend feel pressured anything want,fear
feel excited im feel like ton catching,joy
needed get head onto screen come reread later see numerous blessing challenge okay feel overwhelmed time,fear
feeling quite smug,joy
feel frustrated easier day remember blessing research learning trial error hard success patience give far better garden long run,anger
feel fine e terminando com eight day week um ano depois,joy
know afterward feel hell lot mellow amp relaxed merely laughing stress dump melt away,joy
feel honoured humbled co he legend one still look,joy
began feel agitated wanted buy ewan food medicine left,anger
feeling pretty shaky sad,fear
kind feel like investing internet dummy type book im really bothered status internet pariah,anger
feel fine good enough sunday evening,joy
ive always giver taker feel selfish considering idea,anger
feeling little girl going arrive soon still felt unsure would actually happen,fear
feel resentful toward wife week go without sex,anger
woke emotionally drained anxious immediately defense rise feel irritated story life,anger
feel capacity producer actor someone like david would far accepted come onscreen show boxing different light,joy
feel uncertain project,fear
trying determine feel reluctant actually post ive written finally realized pas something cute idea response something someone could experiencing,fear
learning step back call proud admit yes feeling annoyed yes tell,anger
feeling agitated lately,anger
think would feeling le grumpy hadnt throughout night lung deciding even though wasnt unwell felt though something sitting chest flattened,anger
continue struggle experiencing normal feeling sense theyre chipping away precious time,joy
begun feel irrationally resentful angry towards people,anger
suppose thats wonderful mean learn much quickly also make feel like idiot much way parent couldnt figure leave outgoing message answering machine,joy
feel determined ever,joy
start feel happy think lonely cat feel,joy
aint feeling carefree deffinately worrying self,joy
feel stunningly elegant tonight darling,joy
dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave,joy
feeling highly frustrated worked long day wanted get home take shower eat snack listen music,anger
feel privileged amongst new culture learn new thing,joy
would feel terrified enjoy movie little better,fear
feel thrilled presence eye feel belief peace sincerity,joy
im feeling moxie fab love cath script src http www,joy
im feeling lucky width li style border px list style outside margin px px,joy
im excited time feel little nervous,fear
feel like throughout life point time say ive fucked quite people,anger
feel uncertain keep personal development fitness health going right direction,fear
still feel genre disservice story resolved artifically,joy
feel petty jealousy anger yesterday face wife happiness decision chaperone trip son school,anger
wasnt feeling mad god angry allowing happen sad,anger
feeling wonder dangerous place could settled mentality enmayi bring possibility,anger
feeling restless reason today,fear
start feel agitated inside,anger
could wear casual shopping trip feel fabulous without even trying,joy
im emo ing haha feeling happy instead able meet,joy
know like top head much yesterday really bothersome still feeling little mad,anger
snapping everybody feeling grumpy general,anger
im super annoyed cause hurt time cause cant complete manicure feel like hand pretty kind scared long take heal nail grow stick finger,fear
want feel annoyed resentful angry fact already experience raising kid,anger
feel frantic beat heart cookie voice surprisingly clear,fear
im still feeling annoyed though,anger
ive rather average career decided work le earn le rolex anywhere seen managed write even publish short story collection novel mind draft today feel successful,joy
made set wedding ring recently always feel honored asked make probably personal piece jewellery anyone ever buy,joy
hear hum make feeling warmth leg shift little strange need,fear
im feeling little apprehensive party,fear
feel session useful gave tool need move forward life,joy
feel like weve living weird time warp like wednesday,fear
bombed first interview left second interview feeling pretty fan freaking tastic,joy
tell time shes really feeling really sincere,joy
feel like im hated celebrated cant wait till day say made,anger
grab something hit feel pain damn know risk injury might occur know dangerous,anger
feel fucked,anger
often feel need defend anything even casual conversation like blue color code usually christmas fanatic jump,joy
feel hesitant want put much stock possibility maybe today mark end hard year start one might better,fear
constantly feel lied wronged love people death,anger
im feeling afraid,fear
im particularly feeling pressured act behave way culturally accepted expected,fear
think even understanding history behind lends explanation projected kind important degree never feel offended people questioning,anger
would cry scream kick door feel terrified,fear
im feeling rebellious sake rebellious,anger
feeling festive decided paint nail holiday event,joy
feeling joy happiness ecstasy triumph love felt contented somehow,joy
feel overwhelmed little blue usually around time month manage feeling well,fear
feel like greedy easily pound overweight american,anger
hurt feeling refusing listen spiteful hurtful sniping others,anger
feel threatened talking,fear
know trust feel generally shy away stranger,fear
feel insulted go anyway,anger
im feeling insecure financially right dont want spend,fear
want others happy mean step back yet feel like allow happy deserve even deserve,joy
happy yet feel enraged,anger
feeling bit agitated stressed find surprising amount relief cleaning decluttering house even small space like closet,fear
feel hesitant posting,fear
look scene think cute enjoy swelling feeling pride playful delight dog,joy
feel heartless saying though,anger
really hate feeling youre unsure something,fear
feel agitated jumpy like ate bottle caffeine pill,fear
almost want post sometimes feel intimidated amazingness mom blogger seem perfectly organized home entertained child,fear
every time meet certain dog bitten,fear
feel really honored excited met,joy
feel relieved finally move without single tear shed,joy
must admit matter early start playing christmas music holiday shopping tree make everything feel much holly jolly,joy
woke saturday feeling little brighter keen get outdoors spending day friday wallowing self pity,joy
feel like relationship revovles around sex want really adventurous trying new thing using toy etc ansi find exhausting trying keep,joy
feel like take world even say wont afraid discouraged,fear
havent known sue anything like long bloater lisa feel like know one people meet click grumpy old people conversation straight away roll around laughing next minute well thats sue,anger
manage two short run walk today im back feeling shy awful,fear
feel fucked available pre order href http churchoffuck,anger
started feel irritated feeling,anger
ive planned still day feel stressed point tear helpless good far outweighs bad honestly say im happy moment,anger
first anatomy lesson,anger
feel like much write got distracted home wednesday evening challenge therefore lost train thought,anger
feel cold coming drink little extra xango juice stiff sore,anger
guess mild pain made feel even impatient get,anger
saw last spot tour going wrapping whole thing must admit feeling little intimidated,fear
feel like distracted day dealing fiddly necessity actual creative work feel like day wasted,anger
continue feel nervous inside long talk sensibly even one time around someone wrong feeling many level clue,fear
find feeling irritable depleted run mental checklist worked,anger
feeling threatened might taken away,fear
remember feeling uncertain young especially became teenager,fear
found perfect remedy anyone feeling stressed conflicted future href http www,anger
didnt feel insulted though,anger
feel offended friend especially married friend somehow judge married yet,anger
im feeling insecure sad dont know book,fear
feel like little kid whose mom proud touched soccer ball game,joy
comforted knowing use gun protection put behind bar using feel threatened,fear
feel totally completely pissed angry sad disappointed absolutely furious tough mudder biggest rip planet earth,anger
im feeling virtuous spinach feta cranberry salad balsamic viniagrette,joy
seriously still feel insecure dreadful new guy would suddenly pop back change thing,fear
know feeling sure,joy
think im stupid feeling nervous,fear
feel seeing clash alarmed change planet rather laconic whole thing,fear
feel remembrance strange justin aryiku fall latter category,fear
feel echo divine close,joy
like participate sketch challenge time time im feeling inspired,joy
sweden,fear
also feel aggravated embarassing reason dont want go home yet dreaded coming im dreading leaving,anger
see lover feel envious want someone,anger
feel offended sad know ignorance,anger
feel frantic controlling message wary others reading fearful meaning might find create performance,fear
im feeling kind feeling confused yet like bleh,fear
feeling amused delighted,joy
became clear man used many people sexually psychologically,anger
feel paranoid atleast get comfort dd person talk feel lie total crap around nicest kindest caring person ever met dont think ever find anyone great life,fear
climbed cherry tree alone thick caterpillar beside finger feel disgusted caterpillar snake terribly afraid caterpillar crawling finger fear almost unable climb,fear
think possible maybe denying maybe opening whole possibility maybe realised possible give man men power make feel shaken leather sandal,fear
feel like person tortured somebody like see fan confused embarrassed time,fear
wasnt feeling well yesterday today randomly busy,joy
feel jealous know go woman,anger
stand actually annoying giggle also acknowledge feeling dissatisfied,anger
feel invigorated,joy
feel selfish want keep baby close awhile let rest world unless feel like,anger
really feel kid tortured highschool,fear
rid many bad habit fall back feel insecure vulnerable,fear
feeling vulnerable worrying publishing world like story like next one write,fear
feel innocent want hurt anyone,joy
feel better almost tasting success,joy
like feeling vulnerable exposing worry concern mostly felt need hold together strong one,fear
always feel little shy situation nervous shyness making seem aloof,fear
feel classroom extremely dangerous,anger
im feeling festive tonight,joy
fully enjoy music feel afraid using headphone,fear
feel impatient final post four week tangible result far exciting see far philip reaura go term firming smoothing,anger
feel faithful isnt enough eye,joy
know right feel like still th grade trying useful little leg let,joy
want enjoy feel successful,joy
created paint owl e course intention sharing simple shape template use start owl others could easily create feel afraid start blank canvas,fear
feel radiant morning,joy
ill feel lively,joy
reply make feel pretty,joy
sit tonight pensive tense feeling little fearful,fear
tend think kinda contributed medium intelligence made understand feel thing clever sensible way visual art field especially always feeling losing,joy
spoke reported feeling dissassociated dissatisfied human life,anger
feel really wronged fact hu jia good society,anger
wonder would feel someone screaming saying horribly rude thing behind back later,anger
feeling month going damn cool thing store,joy
feel tortured person one world even think im somebody wish somebody wishing waste time though dream somebody tortured,fear
staying alone biology building dark,fear
im feeling little grumpy today lame weather tease got weekend,anger
feel glad little blog share danger see path ahead,joy
feeling view isnt going popular thats fine,joy
feeling nervous sure like anyone else would position,fear
also get feel proud weight loss completed month time lost around kg approx pound,joy
could feel hit strange foggy wall,fear
guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,joy
feel need emphasize thing moment grumpy last week,anger
like idea woman entertainment industry especially pop music may feel pressured turn hypersexual tartlet get feeling rihanna provocative feel,fear
feel eye hateful eye side glass belong family member beautiful victim,anger
spend time dating attempting date end feeling confused,fear
first held scotty knew love high priced bundle joy couldnt help feeling apprehensive time come hold,fear
im feeling heart make list thing thankful,joy
dont know explain well like happily bobbing along exploring abstract universe make contact something get excited happy feel satisfied like ive formed special bond whatever ive encountered,joy
talk essay people feel differently poetry angry sad,anger
get giddy feeling elegant perfectly fitted pencil skirt,joy
feel special im wearing front,joy
may pour half empty cup still making significantly le making age fresh college entire dollar change hour feel like sweet desperate progress,joy
posted lovely picture instagram feeling slightly rebellious walking plane feeling,anger
ive predicted angle win im feeling slightly le grumpy wrote let say gallows win clean keep thing tight,anger
need nine hour true get le even seven hour supposed norm people consider lot feel grumpy unhappy seriously unmotivated,anger
almost feel greedy believing want much,anger
feeling really emotionally distraught unable concentrate,fear
grabbed collar pulled passionate tonguey kiss feeling long member slide waiting as cheek pulsed frantic bud clit,fear
feel threatened feel fear,fear
feel even pressured cook healthy meal eat thorough preschool lesson boy keep house spotless exercise serve church community happy loving wife time,fear
